id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1306745685342027777,1306263579897688065,2020-09-17 20:03:44 EDT,2020-09-17,20:03:44,-0400,432862262,nassarhuda,Huda Nassar,,"@TonyCulos @cassidoo Nah... I don’t mix between the two cults 😂😉.

Also: is this where I say “what’s stopping you from coding like this?” (Imagine a laptop in front of me). https://t.co/wQr2swtKo6",en,"['tonyculos', 'cassidoo']",[],['https://pbs.twimg.com/media/EiJ-RiOXgAAtNaL.jpg'],1,0,4,[],[],https://twitter.com/nassarhuda/status/1306745685342027777,,,1,https://pbs.twimg.com/media/EiJ-RiOXgAAtNaL.jpg,,,,,,,"{'user_id': '313495611', 'username': 'TonyCulos'}",,,,
1306410637992624128,1306394243985006593,2020-09-16 21:52:22 EDT,2020-09-16,21:52:22,-0400,432862262,nassarhuda,Huda Nassar,,@EdwardTufte Different but related topic: This Arabic translation of Euclid always reminded me of the tufte-latex style... it’s fascinating to see this style from centuries ago. https://t.co/cpVyPt7TdD,en,['edwardtufte'],[],['https://pbs.twimg.com/media/EiFNjJUWkAAQVUG.jpg'],0,0,5,[],[],https://twitter.com/nassarhuda/status/1306410637992624128,,,1,https://pbs.twimg.com/media/EiFNjJUWkAAQVUG.jpg,,,,,,,"{'user_id': '152862026', 'username': 'EdwardTufte'}",,,,
1306274922164035588,1306272698058719233,2020-09-16 12:53:05 EDT,2020-09-16,12:53:05,-0400,432862262,nassarhuda,Huda Nassar,,@PhilChodrow 😂 gotta trademark “seamless interplay”,en,['philchodrow'],[],[],0,0,0,[],[],https://twitter.com/nassarhuda/status/1306274922164035588,,,0,,,,,,,,"{'user_id': '1642585022', 'username': 'PhilChodrow'}",,,,
1306274680077246465,1306260074554429440,2020-09-16 12:52:07 EDT,2020-09-16,12:52:07,-0400,432862262,nassarhuda,Huda Nassar,,"@PhilChodrow @StefanKarpinski @kareem_carr Phil, I think what’s problematic here is that he literally tweeted the words “don’t learn Julia” without any apparent research about the language (there’s a myriad of blogposts/resources online about Julia’s strengths) to 45k+ people. All his inquiries about the Julia came after.",en,"['philchodrow', 'stefankarpinski', 'kareem_carr']",[],[],1,0,6,[],[],https://twitter.com/nassarhuda/status/1306274680077246465,,,0,,,,,,,,"{'user_id': '1642585022', 'username': 'PhilChodrow'}",,,,
1306041841863790593,1305992627649687555,2020-09-15 21:26:54 EDT,2020-09-15,21:26:54,-0400,432862262,nassarhuda,Huda Nassar,,@MoseGiordano @redrapids Thank you Mosè!,ht,"['mosegiordano', 'redrapids']",[],[],0,0,3,[],[],https://twitter.com/nassarhuda/status/1306041841863790593,,,0,,,,,,,,"{'user_id': '918241503226540034', 'username': 'MoseGiordano'}",,,,
1305992627649687555,1305992627649687555,2020-09-15 18:11:21 EDT,2020-09-15,18:11:21,-0400,432862262,nassarhuda,Huda Nassar,,"Thank you @redrapids for having me and for the fun chat! I look forward to hearing about the Groxio community's experience with Julia.

Also, this was probably the first time that I share that I'm joining https://t.co/5lQ15Ldi96 -- more about it in part 2: https://t.co/jpCeGF3MT0",en,['redrapids'],"['http://relational.ai', 'https://youtu.be/g5evoldCvlQ']",[],1,4,37,[],[],https://twitter.com/nassarhuda/status/1305992627649687555,,https://twitter.com/GroxioLearning/status/1305931901622943752,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1304971318203502593,1304893837341601792,2020-09-12 22:33:02 EDT,2020-09-12,22:33:02,-0400,432862262,nassarhuda,Huda Nassar,,"@PhilChodrow @kareem_carr Oops late to the party -- there are some great answers here. To add my 2 cents I'd say that julia provides seamless interplay between math and good quality code (that is fast wout too much work on the user side). This, imo, opens a number of possibilities in data sci exploration.",en,"['philchodrow', 'kareem_carr']",[],[],0,0,7,[],[],https://twitter.com/nassarhuda/status/1304971318203502593,,,0,,,,,,,,"{'user_id': '1642585022', 'username': 'PhilChodrow'}",,,,
1304465106475069442,1304429601574223877,2020-09-11 13:01:31 EDT,2020-09-11,13:01:31,-0400,432862262,nassarhuda,Huda Nassar,,"@hana_slmn Haha. I know that especially you, you will never give up ❤️.",en,[],[],[],0,0,1,[],[],https://twitter.com/nassarhuda/status/1304465106475069442,,,0,,,,,,,,"{'user_id': '4769296046', 'username': 'Hana_Sleiman'}",,,,
1304429601574223877,1304429601574223877,2020-09-11 10:40:26 EDT,2020-09-11,10:40:26,-0400,432862262,nassarhuda,Huda Nassar,,Oof. So glad I’m trained to read columnwise.,en,[],[],[],3,7,71,[],[],https://twitter.com/nassarhuda/status/1304429601574223877,,https://twitter.com/thats_soDeja/status/1303759160140496897,0,,,,,,,,"{'user_id': None, 'username': None}",,,,
1301136321507930113,1300913105325690880,2020-09-02 08:34:07 EDT,2020-09-02,08:34:07,-0400,432862262,nassarhuda,Huda Nassar,,"@rachel_kurchin @JuliaConOrg Though... sorry, you might have to find a different time for knitting and cycling 😉",en,"['rachel_kurchin', 'juliaconorg']",[],[],1,0,3,[],[],https://twitter.com/nassarhuda/status/1301136321507930113,,,0,,,,,,,,"{'user_id': '363293836', 'username': 'rachel_kurchin'}",,,,
